,Airline Name,Overall_Rating,Review_Title,Review Date,Verified,Review,Aircraft,Type Of Traveller,Seat Type,Route,Date Flown,Seat Comfort,Cabin Staff Service,Food & Beverages,Ground Service,Inflight Entertainment,Wifi & Connectivity,Value For Money,Recommended
21010,TUI Airways,3,"""premium economy was comfortable""",18th December 2017,True,  Barbados to Birmingham via Gatwick. Absolute chaos in both Barbados airport and onboard plane. In the airport terminal the flight was displayed as going to Bournemouth with the BHX flight number. We were advised the plane was taking some passengers for Gatwick due to operational reasons once on board. The staff on board did not appear to know how many passengers and two were also in accounted for. Hence nearly 3 hour delay. The accommodation in premium economy was comfortable and food and drink was good. The pilot did warn us to expect turbulence due to weather conditions. We needed to fasten our seatbelts for a good proportion of the journey. The Boeing 787 is comfortable with lots of overhead storage space but not enough toilets. When the cabin crew were advised -prepare for landing we appeared to be circling round for some time when the captain announced we were unable to land due to snow and closure of BHX. He needed to communicate regarding where was safe to land. We eventually landed at LGW some 3hours after original ETA. I appreciate we landed safely and of course am grateful for this. However upon landing we had to collect luggage clear customs and were given a £5 refreshment voucher which we barely had time to use before being herded on to coaches back to BHX. We left between 08:30 and 09:00. Conditions on road were extremely hazardous in snow. The journey took 10 hours and we eventually arrived back at BHX some 14 hours after original estimated time of arrival. As a result I lost my paid for taxi and had to stay in a hotel overnight prior to completing my journey home. Had chaos not ensued at the beginning of our journey we may have landed on time prior to closure of BHX,Boeing 787,Solo Leisure,Premium Economy,Barbados to Birmingham via Gatwick,December 2017,3.0,2.0,4.0,1.0,1.0,,2.0,no
21011,TUIfly,8,"""clean planes and pleasant (young) cabin crew""",3rd July 2023,True," Brussels Zaventem - Fuerteventura Return. Slight delay on the outbound flight due to late arrival of the plane at Brussels Airport but final arrival in Fuerteventura was on time. Return flight had a delay of a bit less then 2hrs due to technical problems with the first foreseen plane. We had the nice Boeing Sky Interior on the return plane so that was a plus! In general clean planes and pleasant (young) cabin crew on both flights. Meals and drinks for purchase but nice selections though. We booked and paid for emergency exit seats so that we would have extra legroom, highly recommendable on such longer flights imho! I understood that one young lady on the outbound flight did not speak Dutch...for a Belgian airline this is not acceptable though!",Boeing 737-800,Family Leisure,Economy Class,Brussels to Fuerteventura via Lanzarote,June 2023,4.0,4.0,4.0,3.0,,,5.0,yes
21012,TUIfly,1,"""Really bad services""",30th September 2022,True,"  Really bad services and no information for our 4h30mn delay. We had a flight from Bruxelles to Heraklion. Our flight was supposed to be at 6.30, we arrive at the airport without seeing the flight on the board. We had no email, no information until we saw the number of our flight at 10am on the board. We waited 3h30 then had the number of the gate 20mns before the “supposed” 10am departure. No information from the crew until we seated in the aircraft and 40 more minutes of delay once on the plane. For sure we will not take this company again. We flight quite often and it’s the worst company we experimented.",A322,Family Leisure,Economy Class,Brussels to Heraklion,September 2022,2.0,1.0,1.0,1.0,1.0,1.0,1.0,no
21013,TUIfly,1,"""We have your money, and what can you do?""",26th July 2022,True," I have purchased tickets to fly from Amsterdam to Ibiza. TUI officially announced in media that no flights will be cancelled, everything looked good until the last moment, when I suddenly got an email that my flight got moved to Liege, different country, 270km away. The flight was schedule on 6.20 morning Saturday so because I worked on Friday evening and there is totally no night transportation between Amsterdam and Liege, there was no way for me to get to Liege. I have called TUI and a very polite lady told me, that indeed there is no other way but to cancel the tickets and she can do it for me. I asked her, to be sure if the funds will be transferred back to my account, she confirmed (I got credit note and cancellation bill) and that’s the moment when the show begins. The email on their website doesn’t work, when after an hour waiting you finally get someone on the phone, they send you to chat, after days of waiting for answer on messenger the tell you to call (with a smiley), on twitter they say that: “it is busy and I probably received the money because system says: 0€” so basically their approach is: ""We have your money, and what can you do?""",,Business,Premium Economy,Amsterdam to Ibiza,July 2022,1.0,1.0,,1.0,,,1.0,no
21014,TUIfly,1,"""It is a scam please avoid this airline""",2nd June 2022,True," I have never wrote a review before and I travel really often. This was by far the worst airline ever! I’ve traveled with a lot of airline companies that have an excellent customer service and the TUI fly service was the worst. My flight got delayed without telling us a reason and I lost my two connection flights to the other destinations. I went to their customer service department in Brussels and the ladies didn’t help me at all, didn’t advise me what should I do and they were laughing at me. Their customer service in Miami told me that for sure my lost flight will be rescheduled in Belgium and nothing happened. They don’t know their own policy at all. I was so frustrated that I bought extra ticket for my connection flights and I had zero help from their department. They told me to go to an agency near them to book a new ticket which was 500€. That’s what they do delay/cancel flights in order to go to an agency near them to book a new flight. It is a scam please avoid this airline.",,Solo Leisure,Economy Class,Miami to Brusells,May 2022,5.0,2.0,2.0,1.0,1.0,1.0,2.0,no
21015,TUIfly,8,"""the seats were quite comfortable""",24th August 2021,True," Flight departed on time. This was the first time I flew the 737-800 MAX with TUI. The interior was really modern and the seats were quite comfortable for a 4.5 hour flight. There were USB outlets on every chair, and the catering was okay. Overall great flight!",Boeing 737-800 MAX,Family Leisure,Economy Class,Amsterdam to Tenerife via La Palma,August 2021,4.0,5.0,4.0,4.0,,,5.0,yes
21016,TUIfly,7,"""want to change their seat configuration""",21st March 2021,True,"  First time on TUI flight. Booked Deluxe Class (Premium Economy) to Curacao. Boarding was good as well as the onboard experience. Two major air carrier from AMS-CUR are KLM and TUI. Despite TUI fly their B787, however Deluxe class non-flatbed seats are unbeatable against KLM flatbed. Wonder if TUI ever want to change their seat configuration to compete their competitor at least on their long-haul flight. Delayed for almost 1 hour and it seemed they were expecting for their stand-by cabin crews to arrived. Catering onboard was great however. Wine and champagne are still available.",Boeing 787-8,Couple Leisure,Premium Economy,Amsterdam to Curacao,March 2021,3.0,5.0,4.0,5.0,4.0,,5.0,yes
21017,TUIfly,1,"""Customer service is for customer service""",22nd July 2020,True," I have now asked for a refund 3 times, but no response. If this is the customer service offered, I am surprised that any of the aircraft leave the ground. Customer service is for customer service. If no response is offered I will be posting on all my social media accounts the non return of requests or the non answering of enquiries.",,Couple Leisure,Economy Class,Crete to Baden Baden,July 2020,,,,,,,1.0,no
21018,TUIfly,1,"""not answering me anymore""",3rd April 2020,True,"  Marrakech to Paris. My flight was canceled, which I can perfectly understand. Once back, because of the law I am supposed to receive 400€. I have get in touch with them via email, they were answering me. After two months without receiving my money, I have got in touch with them several times in the email and on Facebook, and they are not answering me anymore. I can understand everything, but not answering when they are reading my emails and messages om Facebook is disrespectful.",,Solo Leisure,Economy Class,Marrakech to Paris,February 2020,,,,,,,1.0,no
21019,TUIfly,7,"""the flight was enjoyable""",8th March 2020,True,"  Düsseldorf to Hurghada. The service on board was friendly but keep in mind that drinks and food is not included in the ticket price. The drink and food menu offers a wide range of drinks and snacks. The legroom was decent, however the seats had limited storage space. Tuifly is a typical holiday carrier, expect children and a lot of noise. Overall the flight was enjoyable. The flight departed in time, after arrival in Eqypt we were committed to scan our body temperature and fill out a health card, due to the Coronavirus.",Boeing 737-800,Family Leisure,Economy Class,Düsseldorf to Hurghada,March 2020,3.0,4.0,4.0,3.0,,,4.0,yes
21020,TUIfly,5,"""seats were so horrendous""",18th December 2019,True,"  On December 15th me and my partner flew from Curacao to Amsterdam, with a stop at Aruba, on a Boeing 767-300ER of TUIfly Netherlands. Check-in was quick, but due to a late arrival of the aircraft boarding started late. Passengers to Amsterdam had to board first, while the passengers from Amsterdam to Aruba were asked to board second and fill up the remaining unassigned seats. The flight to Aruba was very quick (only 20 minutes) and no serviced was provided due to the short flight time. At Aruba the passengers to Amsterdam were asked to remain seated while the aircraft was prepared for its last leg to Amsterdam. After 90 minutes on the ground we departed slightly later then planned to Amsterdam. The seats were extremely narrow (this 767 was equipped with a 2-4-2 configuration, instead of the designed 2-3-2 configuration). Legroom was good, because we booked comfort class (a pitch of 33 inch), but the seats weren’t equipped with head rests. The interior looked also very dated due to the old overhead bins. The entertainment system was fine with a limited but good selection of movies and television series. After take-off dinner was served (chicken with onion sauce, which was not very good) with a non-alcoholic drink service, after which coffee or tea were served. The lights were dimmed (it was a night flight) and two hours before arrival breakfast was served (a croissant with a yoghurt and a drink). To conclude, the cabin crew was great, polite and very professional. But to be honest, the seats were so horrendous that I would not fly TUI again on this aging 767.",Boeing 767-300ER,Couple Leisure,Economy Class,Curacao to Amsterdam,December 2019,1.0,4.0,2.0,3.0,3.0,,2.0,no
21021,TUIfly,7,"""it was a good experience""",9th December 2019,True,"  Amsterdam to Curacao on December 7th with TUI fly Netherlands, operated by a Boeing 787-8. Check-in was quite chaotic at Amsterdam, with multiple TUI departures at the same time and only one staff member trying to sent passengers to the right check-in row (check-in or bag drop-off). Boarding on the other hand was very smooth and efficient. I prebooked Economy comfort (34 inch leg space), seat 12A, which was quite comfortable. The seat was quite narrow though. The seat was equipped with an PTV with a pretty small selection of movies. A free headset and pillow were distributed. After take off the crew came around with a drink service (alcohol was charged), follow by a hot (small) meal with a drink and coffee or tea. During the flight it was possible to order paid snacks or drinks, but there were also two complementary drink rounds. Two hours before landing a sandwich with a slice of cake were handed out, which was really tasteful. The flight itself was uneventful, and the crew was really friendly and professional. Overall, it was a good experience for a typical holiday airline.",Boeing 787-8,Couple Leisure,Economy Class,Amsterdam to Curaçao,December 2019,3.0,4.0,3.0,2.0,3.0,,3.0,yes
21022,TUIfly,3,"""Just bad practices""",1st September 2019,True,"  Heraklion to Brussels. How to make extra money on clients? I booked my ticket late in the evening, close to midnight. I received 10 minutes later a “cancellation of reservation due to late payment arrival”. Then it was after midnight and I processed again my request. No email to acknowledge receipt whatsoever. In the morning, convinced the payment did not go through I rebooked my ticket. Then I received the two confirmations in one go. I called them, they accepted to reimburse me the ticket but minus 12 euros of double reservation. No chance to explain this was their IT system not working, just a wall of denial. For information the ticket was 200 euros and thus this was not a low price ticket. I am very annoyed they never admitted their website is dysfunctional and make clients pay for it on top of course of the very expensive call you have to pay when complaining. Just bad practices and it is sad this is permitted.",,Solo Leisure,Economy Class,Heraklion to Brussels,October 2018,3.0,3.0,,3.0,,,2.0,no
21023,TUIfly,9,"""happy to fly with them again""",8th June 2019,True,"  Brussels Charleroi to Tenerife South return. Both aircraft leased from SmartLynx but despite their age of +\- 20 years, they were well maintained. Both flights left with a delay of 40-50 minutes on departure but arrived more or less on time (thanks to the 30 mins extra flight time most airlines add). Friendly crew. Acceptable choice of food and drinks to buy on board. Will be happy to fly with them again!",A320,Family Leisure,Economy Class,Brussels to Tenerife,June 2019,4.0,4.0,4.0,4.0,,,5.0,yes
21024,TUIfly,1,"""have to pay for check-in""",1st June 2019,True,"  Punta Cana to Brussels on hand luggage only ticket. I'm not satisfied with their luggage policy and customer service on check-in counter. They charged me 30$ for small cabin luggage which I wanted to check-in. The size and weight of luggage were correct (55x40x20cm/10kg) but they said that I have to pay for check-in.  On my departure flight from Brussels to Punta Cana I checked-in my luggage without any problem, no charge, but on my way back staff at Punta Cana Airport took 30$ and treated me with disrespect. I will never travel again with TUI!",Boeing 787 ,Solo Leisure,Economy Class,Punta Cana to Brussels,May 2019,1.0,2.0,2.0,1.0,3.0,,1.0,no
21025,TUIfly,1,"""staff were really rude""",31st January 2019,False,"  Paris to Rabat. First thing, there is no online check-in! When you do the online check-in they only send you a confirmation of the reservation even though you choose your seat! Please be careful. I was victim of that. I arrived 5 minutes after they finished the check-in, they didn’t even give me much attention. The staff were really rude and not professional. I do not recommend this company at all and for sure it will be the last time ever with them.",,Solo Leisure,Economy Class,Paris to Rabat,January 2019,1.0,1.0,,1.0,,,1.0,no
21026,TUIfly,2,"""uncomfortable for a 4 hour flight""",18th December 2018,True,"  Berlin to Fuerteventura. Bad experience, narrow seats, almost no legroom, uncomfortable for a 4 hour flight; for the better seats you have to pay 30 or 35 euros, although the tickets are not cheap. catering is expensive and not good. rude passengers pushing their sears back without asking and even reacting aggressively when you ask them to push the seat back in upright position; Long check in lines, no inflight entertainment, seats in left 11 row have no window.",,Couple Leisure,Economy Class,Berlin to Fuerteventura,December 2018,1.0,2.0,1.0,1.0,1.0,1.0,2.0,no
21027,TUIfly,1,"""managed situation very well""",5th September 2018,True,"  
Brussels to Montego Bay via Santo Domingo. Although we had a lot of problems with our flight, TUIFly managed the situation very well. On the day of departure, our flight from Brussels to Montego Bay got canceled because of some technical issues with the airplane. We were really upset because we were supposed to leave for our honeymoon, so all our anger was directed towards TUI. They explained to us what has happened and that we shall leave the next day, so they provided accommodation, meals and transfers. Everything was very well organized and the staff was very helpful. After coming back from our honeymoon, we also filed a complaint for the delay resulting in us missing one night in Jamaica, and the airline compensated us, no questions asked, according to the EU regulations. Now you may say that TUIFly caused us a lot of inconveniences and that may be true. But technical problems with an airplane can happen now and then. It is the way the airline handled the situation after that: great accommodation (Crowne Plaza Brussels), buffet dinner (very good quality), prompt transfers back to the airport, and proper compensation according to EU regulations for delayed/canceled flights. I think that every time we fly there is a chance of unforeseeable delay / cancellation, and it is the way customers are treated that makes the difference. And from this standpoint, TUIFly is definitely 10/10.",Boeing 767,Couple Leisure,Economy Class,Brussels to Montego Bay via Santo Domingo,June 2018,5.0,5.0,5.0,5.0,4.0,,5.0,yes
21028,TUIfly,1,"""A very poor experience""",17th July 2018,True," Heraklion to Bristol. A very poor experience both in terms of customer service and travel. We had difficulty with checking in to begin with, to which we were met with unhelpful and impolite customer service. Furhermore, the flight itself (which was already a late one - scheduled to take off at 11.15pm) was delayed by almost an hour with little explanation as to why. Once on the flight, the lights were kept on for an unnecessary amount of time, meaning sleep was impossible. The air-con was on to the max, turning the plane into a fridge, and when we asked for a blanket we were charged £6 which is extortionate for a product that should be provided for free - and is by many competitor airlines, namely BA. We will not be flying with TUI again, and expected more despite the budget prices.",,Family Leisure,Economy Class,Heraklion to Bristol,July 2018,4.0,3.0,1.0,4.0,4.0,5.0,3.0,no
21029,TUIfly,1,"""delayed again and again""",1st January 2018,True,"  Cancun to Amsterdam. I was scheduled to fly on 17th December, arrived to the airport and went through the check-in and all the security checks. After that, we (as for all the passengers) were waiting to board, which had seemed to start any minute. But it was being delayed every ten minutes for another ten minutes until there was a 4 hour delay at which point the pilots came to inform us there were some issues with the airplane's computer, which they were trying to fix, but they would reboot the computer's system and we'd be boarding in an hour. Another hour passed and the pilots came, saying at 2 A.M. (5 hours after the scheduled time of takeoff) that they weren't able to fix the problem and that all the passengers are gonna be accommodated in a five-star hotel for the night (after we get our visas back and go again through immigration) and that we would be informed what the next step is in the morning. I asked if I wasnt going to go to the hotel, if I could get the money instead, so I can buy food and water in the airport, they said no. Next morning I was waiting for any kind of information about the new flight. There was none in the airport and none on my email or my cellphone. Meanwhile my girlfriend arrived, we said our goodbyes and she left before I had at least some minor information about my flight, although the international departure board was all the time showing that the check-in for my flight was about to begin in 40 minutes. But 40 minutes turned out to be the whole day and at about 5 P.M. the check-in opened for my flight. I was lucky they hadn't changed the terminal because I wouldn't have found out. OK, I went through the check-in again, through security checks again and the flight was delayed again and again and again, unsure to even take-off that night. In the end we departed from a different gate and 25 hours later but we departed. I am trying to make a complaint to get compensation for the delayed flight. There is an official complaint app at the airline's website. It doesn't work. So I wrote an email. They answered that I have to complain at the website's official complain program. I sent another email, saying that for whatever reason I cannot get inside that program. I sent them the official  complaint form and all the information they needed to know. Their answer after that was that my email was empty and I have to write a new one. It takes 2 days for them to answer every time. So I wrote a new one. ",,Solo Leisure,Economy Class,Cancun to Amsterdam,December 2017,1.0,1.0,1.0,1.0,2.0,1.0,1.0,no
21030,TUIfly,8,"""It was a good flight""",25th September 2017,False,"  Kos to Ostend. It was a good flight and that cabin crew was friendly and can speak at least 3 languages (French, Dutch and English). When you have a question, they will try to help you with a smile. It was a Boeing 737 without entertainment on the flight. It was an older aircraft, but there weren't any problems with the hygiene.",Boeing 737,Family Leisure,Economy Class,Kos to Ostend,September 2017,2.0,5.0,,4.0,,,5.0,yes
21031,TUIfly,8,"""service on the plane was good""",23rd September 2017,False,"  Ostend to Kos. It was a good flight from a secondary airport in Belgium (Ostend, the primary airport is Brussels). There wasn’t a delay and the service on the plane was good (really friendly). It was an older aircraft, but the hygiene was good. It was a Boeing 737 without entertainment on the flight.",Boeing 737,Family Leisure,Economy Class,Ostend to Kos,September 2017,2.0,5.0,3.0,4.0,,,4.0,yes
21032,TUIfly,8,"""would personally use again""",15th August 2017,False,  Birmingham to Dubrovnik. We boarded on time we were surprised as we paid for extra leg room and they were all gone apart from two seats but meant we couldn't sit together. On the way back we managed to book them. On the way good flight but I noticed about 6 seats extra leg room were empty. After a quick word with the stewardess we were able to move and sit together. Comfy seats we didn't pay for anything on refreshments or food as well its a rip off. Flight home on time but Dubrovnik was very windy as not the most confident passenger the captain did say it was going to be a rough take off. Yes it was not a good experience but something that was out of their control. Apart from that a good flight home. Air stewards ok a bit snooty which I find most of the time. I would personally use again.,,Couple Leisure,Economy Class,Birmingham to Dubrovnik,August 2017,5.0,3.0,,5.0,,,5.0,yes
21033,TUIfly,2,"""never take this airline again""",1st July 2017,False,"  Chania to Brussels via Kos. I was supposed to fly with my infant daughter and my mother a 3 hour direct trip from Chania to Brussels on 30 June. Two weeks before the flight we received a message that our flight would take 6 hours due to a stopover in Kos Island. I called the airline and asked what it was about - they said no worries, a small stopover, you will not need to disembark. Ok, suboptimal but acceptable til now. On the day of the flight, we check in normally, and when we look to take our seats, they were occupied. I tell the attendants that I must sit with my infant daughter and mother, and they just say to randomly take seats because the plane is totally unoccupied. Ok. We sit. I then ask if we have to switch to our assigned seats on the Kos stopover, because it will be extremely difficult for me to carry the baby, all the baby bags, and my own stuff, wake the baby up (she sleeps at takeoff), and move. They say we'll do our best for you to keep your seats. At Kos we are suddenly announced to disembark because they have to fuel up and the policy is no passengers during fueling (although all the crew remained on board).  What a mess. Talked to other discontent passengers, many had huge delays when flying into Chania in the first place (ex. flight scheduled for 6 am finally takes off at 8 am). Then get back on the plane to the assigned seats, try to calm the baby down, etc. Of couse needless to say nobody helped with the baby. I'm glad we arrived safe and that our luggage was not lost. But I would never take this airline again. It's cheap, but Ryanair is luxury compared to TuiFly. ",,Family Leisure,Economy Class,Chania to Brussels via Kos,June 2017,2.0,2.0,1.0,2.0,1.0,,2.0,no
21034,TUIfly,1,"""Awful experience""",15th June 2017,False,  Paris to Marrakech. The plane arrived 4 hours late and we had no communication at all. Then we finally boarded but we waited a lot and could not take off because a passenger fell while onboarding. He got injured but the crew let us in. Doctors came and asked him to leave the plane but the passenger refused to leave. We eventually took off. The crew during the flight was the most impolite I have seen. I did not feel good and asked for water. The woman said she would bring some but never came back.  We arrived 5 hours late.  Awful experience. Won't recommend this airline to anyone,,Solo Leisure,Economy Class,Paris to Marrakech,January 2017,1.0,1.0,1.0,1.0,,,1.0,no
